Nr     Name                         Prov.Desig     Taxon1   Ref  Taxon_al Refs
169675 2002 JM97                    2002 JM97      Scomp    E51  Scomp    E51
164400 2005 GN59                    2005 GN59      Sq/Q     E51  Q,Sq     D81,E51
164222 2004 RN9                     2004 RN9       Scomp    E51  Sq,Scomp E42,E51
164211 2004 JA27                    2004 JA27      Sq/Q     F82  Sq/Q,Sco F82,E51
164202 2004 EW                      2004 EW        C/X      D81  X;C/X    B34,D81
164184 2004 BF68                    2004 BF68      C        936  C        936
164121 2003 YT1                     2003 YT1       V        D81  V,R,Sr   C93,A58,A38,D81
163899 2003 SD220                   2003 SD220     Sr       F82  S/Sr     F82,E51
163732 2003 KP2                     2003 KP2       C        996  C        996
163697 2003 EF54                    2003 EF54      Q        E51  V;Q      A58,D81,E51
163364 2002 OD20                    2002 OD20      Sq       D12  Sq       D12
163250 2002 GH1                     2002 GH1       Scomp    E51  Scomp    E51
163249 2002 GT                      2002 GT        Sq       D12  Sq       D12,D51
163243 2002 FB3                     2002 FB3       Sq       D81  Sq/Q     D81
163132 2002 CU11                    2002 CU11      C/X      D81  C/X      D81
163081 2002 AG29                    2002 AG29      Q        E51  S;Q      B49,E51
163014 2001 UA5                     2001 UA5       Sq       664  Sq       664    
163001 2001 SE170                   2001 SE170     S/Sr     E51  Sr,S     B34,D81,E51
163000 2001 SW169                   2001 SW169     Scomp    E51  S/Sr/Sq  E49,E51  
162998 2001 SK162                   2001 SK162     D        D81  T;D      666,B34,A89,D81
162900 2001 HG31                    2001 HG31      Sq       E51  Q;Sq     D81,E51
162781 2000 XL44                    2000 XL44      S        E51  S        664,E51
162740 2000 WF6                     2000 WF6       Sq       664  Sq       664    
162581 2000 SA10                    2000 SA10      K        614  K        614,A45
162567 2000 RW37                    2000 RW37      C        664  C        664    
162566 2000 RJ34                    2000 RJ34      X        A89  X        A89
162483 2000 PJ5                     2000 PJ5       Q        E51  Q        D81,E51
162422 2000 EV70                    2000 EV70      Q        540  Q        540
162421 2000 ET70                    2000 ET70      X        540  X        540
162385 2000 BM19                    2000 BM19      O        666  O        666    
162273 1999 VL12                    1999 VL12      V        H88  V        H88    
162195 1999 RK45                    1999 RK45      Q        F66  Q        F66
162186 1999 OP3                     1999 OP3       Scomp    E51  S        996,E51
162181 1999 LF6                     1999 LF6       S/Sr     E51  L;S/Sr   A58,E51
162173 1999 JU3                     1999 JU3       C        876  C        876,539,882
