Number,Name,DynClass,u-v,u-g,u-r,u-i,u-z,v-g,v-r,v-i,v-z,g-r,g-i,i-z,g-z,r-i,r-z,complex,complex1,complex2,nc
369264,"         2009 MS","         NEA>Apollo",,,,,,,,,,0.4494,0.2588,,,-0.1906,,S,"  ","  ",5
518737,"        2009 OO9","         NEA>Apollo",,,,,,,,,,0.6308,,,,,,U,"  ","  ",5
468684,"       2009 QY33","           NEA>Amor",,,,,,,,,,0.4112,,,,,,S,"  ","  ",5
,"      2009 SK104","           NEA>Amor",,,,,,,,,,0.3265,0.3852,-0.0845,0.3355,0.0587,0.009,B,"pB","pU",1
529450,"         2010 AK","         NEA>Apollo",,,,,,,,,,0.3736,,,,,,S,"  ","  ",5
356285,"         2010 DE","           NEA>Amor",,,,,,,,,,0.5755,,,,,,S,"  ","  ",5
516803,"       2010 JG88","         NEA>Apollo",,,,,,,,,,0.262,,,0.7,,0.4654,C,"  ","  ",5
411201,"       2010 LJ14","           NEA>Amor",,,,,,,,,,0.3988,0.5598,-0.1298,0.4579,0.2048,0.0846,Q,"pU","pQ",1
414772,"      2010 OC103","         NEA>Apollo",,,,,,,,,,-0.0391,,,,,,U,"  ","  ",5
,"      2010 RH178","           NEA>Amor",,,,,,,,,,0.7401,,,,,,U,"  ","  ",5
510262,"       2011 HJ61","         NEA>Apollo",,,,,,,,,,0.265,,,,,,U,"  ","  ",5
,"         2011 MF","           NEA>Amor",,,,,,,,,,0.5357,0.4069,,,-0.1288,,S,"  ","  ",5
,"         2011 OB","           NEA>Aten",,,,,,,,,,-0.073,,,,,,U,"  ","  ",5
458745,"       2011 QY37","           NEA>Amor",,,,,,,,,,0.3546,,,,,,S,"  ","  ",5
420286,"         2011 RZ","         NEA>Apollo",,,,,,,,,,0.5031,0.7489,-0.2814,0.4675,0.2458,-0.0356,V,"pU","pV",1
,"      2011 UM147","           NEA>Amor",,,,,,,,,,0.7376,,,,,,U,"  ","  ",5
,"       2011 WK15","           NEA>Amor",,,,,,,,,,0.186,,0.1669,,,,U,"pU","pC",2
530938,"         2011 XE","           NEA>Aten",,,,,,,,,,0.3605,0.6608,,,0.3003,,S,"  ","  ",5
,"         2012 CT","           NEA>Amor",,,,,,,,,,0.5546,,,,,,S,"  ","  ",5
436775,"        2012 LC1","         NEA>Apollo",,,,,,,,,,0.2936,0.3648,,,0.0712,,C,"  ","  ",5
,"       2012 QG42","         NEA>Apollo",,,,,,,,,,1.3737,,,,,,U,"  ","  ",5
